"","column_label","trans_type","threshold_temporal","proportion_sim_temporal"
"1",1,"g1g1",67.593194013834,0.390513078102616
"2",1,"mixed",67.6788938961923,0.468973893794779
"3",1,"g2g2",67.6608897732571,0.140513028102606
"4",2,"g1g1",67.6671299114823,0.466614193322839
"5",2,"mixed",67.767912119627,0.316771763354353
"6",2,"g2g2",67.7469176292419,0.216614043322809
"7",3,"g1g1",67.6962697431445,0.539887707977542
"8",3,"mixed",67.5411026537418,0.170224734044947
"9",3,"g2g2",67.6778073072433,0.289887557977512
"10",4,"g1g1",67.6324789553881,0.581089016217803
"11",4,"mixed",67.728149741888,0.0878221175644235
"12",4,"g2g2",67.7322044223547,0.331088866217773
"13",5,"g1g1",67.6869787216187,0.602619420523884
"14",5,"mixed",67.9711398184299,0.0447613089522618
"15",5,"g2g2",67.6837067455053,0.352619270523854
"16",6,"g1g1",67.6533441364765,0.613672122734425
"17",6,"mixed",67.5889966189861,0.0226559045311809
"18",6,"g2g2",67.6729871630668,0.363671972734395
"19",7,"g1g1",67.5913104247302,0.619321723864345
"20",7,"mixed",67.9250972449779,0.0113567022713405
"21",7,"g2g2",67.6082417398691,0.369321573864315
"22",8,"g1g1",67.7068234406412,0.622123324424665
"23",8,"mixed",67.4930289596319,0.00575350115070023
"24",8,"g2g2",67.6048369854689,0.372123174424635
"25",9,"g1g1",67.7014777585863,0.623572424714485
"26",9,"mixed",66.743930286169,0.00285530057106011
"27",9,"g2g2",67.668708576262,0.373572274714455
"28",10,"g1g1",67.6744134962559,0.624286024857205
"29",10,"mixed",68.8194764554501,0.00142810028562006
"30",10,"g2g2",67.7389233782887,0.374285874857175
