,column_label,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal,trans_type,threshold_temporal,proportion_sim_temporal
1,1,g1g1,67.59319401,0.390513078,g1g1,67.59319401,0.390513078,g1g1,67.59319398,0.390513078,g1g1,103.8452113,0.390301785,g1g1,121.3829815,0.390301785,g1g1,216.7777676,0.390301785,g1g1,161.290083,0.390393251,g1g1,172.8530752,0.390393251,g1g1,264.7088919,0.390393251,g1g1,257.7188972,0.390497712,g1g1,318.2752966,0.390497712,g1g1,514.4275485,0.390497712
2,1,mixed,67.6788939,0.468973894,mixed,67.6788939,0.468973894,mixed,135.3577878,0.468973894,mixed,104.1098911,0.46907861,mixed,159.9949377,0.46907861,mixed,262.2230153,0.46907861,mixed,161.2271439,0.469068457,mixed,192.5904521,0.469068457,mixed,306.5523499,0.469068457,mixed,256.9427211,0.468660805,mixed,340.5947853,0.468660805,mixed,549.1334162,0.468660805
3,1,g2g2,67.66088977,0.140513028,g2g2,135.3217795,0.140513028,g2g2,202.9826693,0.140513028,g2g2,104.0823189,0.140619604,g2g2,208.1646379,0.140619604,g2g2,312.2469568,0.140619604,g2g2,160.9411459,0.140538292,g2g2,218.7230192,0.140538292,g2g2,350.2349046,0.140538292,g2g2,258.1851749,0.140841483,g2g2,364.9548462,0.140841483,g2g2,586.8458231,0.140841483
4,2,g1g1,67.66712991,0.466614193,g1g1,67.66712991,0.466614193,g1g1,67.66712991,0.466614193,g1g1,88.31111256,0.466566031,g1g1,93.92246195,0.466566031,g1g1,158.3959301,0.466566031,g1g1,161.4521523,0.466945243,g1g1,166.6289455,0.466945243,g1g1,218.1336612,0.466945243,g1g1,234.5302102,0.46655651,g1g1,262.5604874,0.46655651,g1g1,387.8089801,0.46655651
5,2,mixed,67.76791212,0.316771763,mixed,67.76791212,0.316771763,mixed,135.5358242,0.316771763,mixed,110.8381507,0.316799225,mixed,174.9752301,0.316799225,mixed,283.7628388,0.316799225,mixed,161.718333,0.316482065,mixed,202.4103659,0.316482065,mixed,320.1638221,0.316482065,mixed,265.9522824,0.316770651,mixed,380.8377174,0.316770651,mixed,605.5176855,0.316770651
6,2,g2g2,67.74691763,0.216614043,g2g2,135.4938352,0.216614043,g2g2,203.2407529,0.216614043,g2g2,135.3146782,0.216634743,g2g2,270.6293564,0.216634743,g2g2,405.9440347,0.216634743,g2g2,161.9645694,0.216572693,g2g2,272.6972818,0.216572693,g2g2,422.5071043,0.216572693,g2g2,302.6548888,0.216672839,g2g2,537.8495674,0.216672839,g2g2,829.25501,0.216672839
7,3,g1g1,67.69626974,0.539887708,g1g1,67.69626975,0.539887708,g1g1,67.69626974,0.539887708,g1g1,77.11801094,0.539792222,g1g1,78.5087802,0.539792222,g1g1,104.9123742,0.539792222,g1g1,161.7693302,0.539724543,g1g1,163.8664086,0.539724543,g1g1,186.1422418,0.539724543,g1g1,219.7893278,0.539562546,g1g1,230.3547109,0.539562546,g1g1,288.5892507,0.539562546
8,3,mixed,67.54110265,0.170224734,mixed,67.54110264,0.170224734,mixed,135.0822053,0.170224734,mixed,114.3444699,0.170257828,mixed,183.2479071,0.170257828,mixed,295.5433482,0.170257828,mixed,161.6161209,0.170339763,mixed,207.5909117,0.170339763,mixed,326.5696841,0.170339763,mixed,270.1786008,0.170316709,mixed,402.3772676,0.170316709,mixed,635.4430039,0.170316709
9,3,g2g2,67.67780731,0.289887558,g2g2,135.3556146,0.289887558,g2g2,203.0334219,0.289887558,g2g2,150.580099,0.289949949,g2g2,301.1601979,0.289949949,g2g2,451.7402969,0.289949949,g2g2,161.5645595,0.289935695,g2g2,301.6214892,0.289935695,g2g2,458.5292971,0.289935695,g2g2,324.8248608,0.290120745,g2g2,623.3842916,0.290120745,g2g2,944.5923514,0.290120745
10,4,g1g1,67.63247896,0.581089016,g1g1,67.63247896,0.581089016,g1g1,67.63247896,0.581089016,g1g1,72.09454917,0.58100757,g1g1,72.54934936,0.58100757,g1g1,81.60679415,0.58100757,g1g1,161.7439386,0.580949273,g1g1,162.6767959,0.580949273,g1g1,172.972261,0.580949273,g1g1,212.7357464,0.580860605,g1g1,217.2129242,0.580860605,g1g1,243.2770783,0.580860605
