assort_vect,prop_succesful_gamma,min_chisq_gamma
1,0,61.76521627
1.1,0,60.28733632
1.2,0,53.3851604
1.3,0,45.92047527
1.4,0,35.9145493
1.5,0,26.74861155
1.6,0,17.26073861
1.7,0,10.41736372
1.8,0,6.262015821
1.9,0.01,3.02848942
2,0.12,1.132626093
2.1,0.49,0.558116281
2.2,0.84,0.125227623
2.3,0.96,0.047494001
2.4,0.9,0.136700987
2.5,0.55,0.013071087
2.6,0.2,0.404223589
2.7,0.04,0.520906924
2.8,0.01,3.487037037
2.9,0,6.376120858
3,0,10.18475473
3.1,0,10.74195564
3.2,0,16.34769711
3.3,0,23.41611819
3.4,0,29.45558703
3.5,0,37.75352689
3.6,0,45.81028244
3.7,0,67.41510483
3.8,0,77.19530611
3.9,0,87.2853397
4,0,86.86908848
4.1,0,120.6340889
4.2,0,136.2307262
4.3,0,167.5195143
4.4,0,173.7784495
4.5,0,197.1820513
4.6,0,224.7447322
4.7,0,240.5188615
4.8,0,269.3053683
4.9,0,305.3183069
5,0,346.0974221
