assort_vect,prop_succesful,min_chisq
1,0,77.09022911
1.1,0,73.3565772
1.2,0,66.54172312
1.3,0,59.5589863
1.4,0,51.55230934
1.5,0,41.51810886
1.6,0,35.1602958
1.7,0,28.52855645
1.8,0,22.70899471
1.9,0,15.3202324
2,0,11.44518124
2.1,0,7.96517064
2.2,0,6.233621697
2.3,0,4.092563287
2.4,0.01,3.191888
2.5,0.02,2.95164299
2.6,0.02,3.537144435
2.7,0.05,2.760679873
2.8,0.07,1.645303971
2.9,0.12,1.249606356
3,0.22,1.16570407
3.1,0.22,1.102124183
3.2,0.27,1.682522632
3.3,0.21,1.728717949
3.4,0.16,1.726840687
3.5,0.13,2.124938751
3.6,0.06,2.629415436
3.7,0.02,2.517857143
3.8,0.01,2.053524436
3.9,0.01,2.290466741
4,0.01,2.70996732
4.1,0.01,3.180555556
4.2,0,4.00290577
4.3,0,4.907667675
4.4,0,6.303014553
4.5,0,7.777117117
4.6,0,9.807420147
4.7,0,12.44378378
4.8,0,12.70244224
4.9,0,16.14688669
5,0,16.14688669
