"","assort_vect","prop_succesful","min_chisq","mean_chisq"
"1",1,0,77.0902291105121,115.242624704187
"2",1.1,0,73.3565771990433,112.53660471801
"3",1.2,0,66.5417231170656,106.565857824668
"4",1.3,0,59.5589863040358,96.6799359927803
"5",1.4,0,51.5523093447906,84.9319418879474
"6",1.5,0,41.5181088643683,74.2734435231573
"7",1.6,0,35.1602958037147,63.9897424083495
"8",1.7,0,28.5285564507229,55.3696141712925
"9",1.8,0,22.7089947089947,46.7666894513285
"10",1.9,0,15.3202323991798,39.9105324707891
"11",2,0,11.4451812408627,33.4917574003856
"12",2.1,0,7.96517064048621,26.8529506394168
"13",2.2,0,6.23362169745148,23.6429119255173
"14",2.3,0,4.09256328708754,18.6913228757225
"15",2.4,0.01,3.19188799991682,15.5115969280597
"16",2.5,0.02,2.951642990386,12.858607392208
"17",2.6,0.02,3.53714443523888,10.8693158271315
"18",2.7,0.05,2.7606798733239,8.94128040476295
"19",2.8,0.07,1.64530397139093,7.68902592980981
"20",2.9,0.12,1.24960635608523,6.9015048616144
"21",3,0.22,1.16570407040704,6.30740601764327
"22",3.1,0.22,1.10212418300654,6.19288567443935
"23",3.2,0.27,1.68252263185516,6.44801182514188
"24",3.3,0.21,1.72871794871795,7.12257426762256
"25",3.4,0.16,1.72684068662222,7.92194004976445
"26",3.5,0.13,2.12493875110698,9.58015403652519
"27",3.6,0.06,2.62941543582276,11.1584966207699
"28",3.7,0.02,2.51785714285714,13.6389580990392
"29",3.8,0.01,2.05352443609023,15.7599803658381
"30",3.9,0.01,2.29046674088056,18.7061264882446
"31",4,0.01,2.70996732026144,22.3694464281124
"32",4.1,0.01,3.18055555555556,26.2321748181225
"33",4.2,0,4.00290577002906,30.4628322099891
"34",4.3,0,4.90766767479096,34.6456523718807
"35",4.4,0,6.30301455301455,40.4703741936185
"36",4.5,0,7.77711711711712,46.4192026341369
"37",4.6,0,9.80742014742015,50.9165248599726
"38",4.7,0,12.4437837837838,59.7688106194193
"39",4.8,0,12.7024422442244,65.46927034176
"40",4.9,0,16.1468866886689,75.7012578237282
"41",5,0,16.1468866886689,82.1420308876129
