"assort_vect","prop_succesful_gamma","min_chisq_gamma","mean_chisq_gamma"
1,0,69.9055555555556,94.7665537417012
1.1,0,69.148438538206,92.8065637809864
1.2,0,63.7702996997237,87.150594566083
1.3,0,56.2434658073756,77.6951976857753
1.4,0,49.4129210116265,68.9258452303326
1.5,0,39.9168272358741,58.9276109488732
1.6,0,31.2723015873016,49.8294169127802
1.7,0,25.5008798232463,42.4137602461476
1.8,0,20.2709327964721,35.7979334132852
1.9,0,15.1170093311685,29.7091182225552
2,0,11.3163461538462,24.7703461826314
2.1,0,9.08797729618163,19.5948459444397
2.2,0,7.3495115995116,15.7542908190959
2.3,0,5.19254903482896,12.9797304958365
2.4,0.01,3.28049657226487,10.4153033787663
2.5,0.07,2.4849427253408,8.60416187903269
2.6,0.12,1.7009009009009,7.29850779405768
2.7,0.18,1.59168813711213,6.73930461915536
2.8,0.2,1.59674502712477,6.53434123826308
2.9,0.11,1.88362831858407,7.10042191673282
3,0.07,2.56836132198451,8.05684101126092
3.1,0.01,2.90667293233083,9.56535910573748
3.2,0.01,3.02150192554557,11.5513648737187
3.3,0.01,3.54946746232579,14.1320398525955
3.4,0,4.7055417700579,17.078478288228
3.5,0,6.30719909237804,20.8346674217395
3.6,0,8.63753105132415,25.1018011320742
3.7,0,9.51752873563218,29.4594040294028
3.8,0,13.9838154269972,38.038886161696
3.9,0,16.2138635508181,44.2219348461925
4,0,18.9838544564371,46.7633406634536
4.1,0,24.3956043956044,57.4499622692472
4.2,0,27.1747689835275,62.4392859467569
4.3,0,31.0654363736523,71.4783630037889
4.4,0,34.9820690225481,80.9684537814558
4.5,0,46.4562115516063,96.6152559010716
4.6,0,44.7205939996985,99.0976662770907
4.7,0,51.4786026577071,110.717452052922
4.8,0,67.5976923076923,130.391948952676
4.9,0,73.0957095709571,140.840351197374
5,0,82.304216507177,162.411118152588
