"assort_vect","prop_succesful","min_chisq"
1,0,146.443136218776
1.1,0,148.317516614898
1.2,0,157.629239072405
1.3,0,142.451371694563
1.4,0,165.057741424064
1.5,0,176.254665828391
1.6,0,195.20811149277
1.7,0,217.291441530606
1.8,0,226.101428095529
1.9,0,238.003595175138
2,0,258.143116656687
2.1,0,260.7215021513
2.2,0,261.037953786994
2.3,0,274.087573889156
2.4,0,283.924674725754
2.5,0,299.741715841596
2.6,0,325.634212520363
2.7,0,355.833125988471
2.8,0,384.251328148243
2.9,0,410.800736235595
3,0,443.10596300424
3.1,0,476.57706269015
3.2,0,516.427371093949
3.3,0,551.813683083403
3.4,0,589.462988929467
3.5,0,637.970838444419
3.6,0,690.26348897235
3.7,0,735.614781959848
3.8,0,779.192927781411
3.9,0,841.136254011915
4,0,895.06573015358
4.1,0,978.725382093746
4.2,0,1031.26677515133
4.3,0,1111.85995562061
4.4,0,1200.04935772832
4.5,0,1290.44466545116
4.6,0,1344.8350148881
4.7,0,1468.59292419784
4.8,0,1588.58352468542
4.9,0,1707.36094400792
5,0,1843.02268092592
