"assort_vect","prop_succesful_gamma","min_chisq_gamma"
1,0,112.995029132716
1.1,0,104.682736252396
1.2,0,93.6301371364256
1.3,0,76.6891463236813
1.4,0,61.5643366561022
1.5,0,44.734547274232
1.6,0,35.1307131315699
1.7,0,26.2846450609561
1.8,0,25.6357830867679
1.9,0,28.3600581566285
2,0,28.2610099240418
2.1,0,32.9225898151468
2.2,0,42.1402111135768
2.3,0,50.396861195735
2.4,0,66.1182881642032
2.5,0,82.7371647423624
2.6,0,100.759751698683
2.7,0,127.832483180606
2.8,0,159.404534291704
2.9,0,195.755134335936
3,0,224.244555260577
3.1,0,265.668559090327
3.2,0,294.331214156191
3.3,0,339.499903541981
3.4,0,386.823224444552
3.5,0,452.706295250951
3.6,0,499.54524891924
3.7,0,563.53880751652
3.8,0,636.271716801174
3.9,0,719.035511495093
4,0,795.26600934004
4.1,0,898.415373909515
4.2,0,998.577892798867
4.3,0,1050.95851400621
4.4,0,1189.19747697728
4.5,0,1314.11824632494
4.6,0,1392.00109924145
4.7,0,1542.32088363541
4.8,0,1697.3777617532
4.9,0,1763.31422042385
5,0,2039.41408864062
